,0
130,"(131, 1056, 'gdm-x-session', Decimal('0.000'), Decimal('0.150'), datetime.datetime(2022, 11, 23, 14, 34, 44, 463000))"
131,"(132, 1058, 'Xorg', Decimal('0.000'), Decimal('1.720'), datetime.datetime(2022, 11, 23, 14, 34, 44, 473000))"
132,"(133, 1065, 'dbus-run-session', Decimal('0.000'), Decimal('0.040'), datetime.datetime(2022, 11, 23, 14, 34, 44, 487000))"
133,"(134, 1066, 'dbus-daemon', Decimal('0.000'), Decimal('0.120'), datetime.datetime(2022, 11, 23, 14, 34, 44, 497000))"
134,"(135, 1067, 'gnome-session-binary', Decimal('0.000'), Decimal('0.440'), datetime.datetime(2022, 11, 23, 14, 34, 44, 507000))"
135,"(136, 1072, 'at-spi-bus-launcher', Decimal('0.000'), Decimal('0.200'), datetime.datetime(2022, 11, 23, 14, 34, 44, 517000))"
136,"(137, 1077, 'dbus-daemon', Decimal('0.000'), Decimal('0.110'), datetime.datetime(2022, 11, 23, 14, 34, 44, 527000))"
137,"(138, 1095, 'gnome-shell', Decimal('0.000'), Decimal('4.920'), datetime.datetime(2022, 11, 23, 14, 34, 44, 537000))"
138,"(139, 1112, 'xdg-permission-store', Decimal('0.000'), Decimal('0.130'), datetime.datetime(2022, 11, 23, 14, 34, 44, 547000))"
139,"(140, 1118, 'upowerd', Decimal('0.000'), Decimal('0.220'), datetime.datetime(2022, 11, 23, 14, 34, 44, 557000))"
140,"(141, 1129, 'packagekitd', Decimal('0.000'), Decimal('0.520'), datetime.datetime(2022, 11, 23, 14, 34, 44, 567000))"
141,"(142, 1132, 'at-spi2-registryd', Decimal('0.000'), Decimal('0.210'), datetime.datetime(2022, 11, 23, 14, 34, 44, 577000))"
142,"(143, 1143, 'gsd-color', Decimal('0.000'), Decimal('0.510'), datetime.datetime(2022, 11, 23, 14, 34, 44, 587000))"
143,"(144, 1144, 'ibus-daemon', Decimal('0.000'), Decimal('0.290'), datetime.datetime(2022, 11, 23, 14, 34, 44, 597000))"
144,"(145, 1146, 'gsd-print-notifications', Decimal('0.000'), Decimal('0.280'), datetime.datetime(2022, 11, 23, 14, 34, 44, 607000))"
145,"(146, 1148, 'gsd-a11y-settings', Decimal('0.000'), Decimal('0.170'), datetime.datetime(2022, 11, 23, 14, 34, 44, 617000))"
146,"(147, 1153, 'gsd-power', Decimal('0.000'), Decimal('0.490'), datetime.datetime(2022, 11, 23, 14, 34, 44, 630000))"
147,"(148, 1158, 'gsd-media-keys', Decimal('0.000'), Decimal('0.550'), datetime.datetime(2022, 11, 23, 14, 34, 44, 640000))"
148,"(149, 1160, 'gsd-rfkill', Decimal('0.000'), Decimal('0.160'), datetime.datetime(2022, 11, 23, 14, 34, 44, 650000))"
149,"(150, 1161, 'gvfsd', Decimal('0.000'), Decimal('0.190'), datetime.datetime(2022, 11, 23, 14, 34, 44, 660000))"
150,"(151, 1163, 'gsd-keyboard', Decimal('0.000'), Decimal('0.410'), datetime.datetime(2022, 11, 23, 14, 34, 44, 670000))"
151,"(152, 1165, 'gsd-wacom', Decimal('0.000'), Decimal('0.400'), datetime.datetime(2022, 11, 23, 14, 34, 44, 683000))"
152,"(153, 1167, 'gsd-housekeeping', Decimal('0.000'), Decimal('0.180'), datetime.datetime(2022, 11, 23, 14, 34, 44, 693000))"
153,"(154, 1171, 'gsd-sound', Decimal('0.000'), Decimal('0.240'), datetime.datetime(2022, 11, 23, 14, 34, 44, 703000))"
154,"(155, 1172, 'gsd-datetime', Decimal('0.000'), Decimal('0.410'), datetime.datetime(2022, 11, 23, 14, 34, 44, 713000))"
